filename,text,onset,offset
117116.mp3,"An alarm clock beeps repeatedly with quick, piercing sounds.",0.0331907945826732,19.38342403628118
117126.mp3,An alarm is ringing loudly and repeatedly nearby.,0.0,10.5030638078016
117126.mp3,Noise.,11.362963768674248,11.57793875889241
117126.mp3,An alarm is ringing repeatedly nearby.,12.514615501985828,23.048
118234.mp3,An alarm clock is beeping continuously.,0.0,13.41487982460889
118234.mp3,An alarm clock is beeping continuously.,15.134251745791156,28.492
119173.mp3,A car alarm sounds loudly in a steady pattern.,0.0,20.06560427840424
119173.mp3,Several people are talking outdoors at different distances.,0.0179638355222956,6.233450926236593
119173.mp3,Car engine noises continue in the distance.,1.7604558811849735,8.802279405924864
119173.mp3,A car is slowly passing by on the street.,20.011712771837352,25.113442060169312
119173.mp3,An alarm is ringing.,0.0,20.06029723669475
119173.mp3,A car is rolling.,20.03228006178317,25.13140589569161
119173.mp3,People are talking in the background.,0.1681030494695091,6.780156328603534
120526.mp3,An alarm is beeping.,0.5399497162090545,1.0029166867905863
120526.mp3,An alarm is beeping.,1.5382158706796851,2.0104205821276566
120526.mp3,An alarm is beeping.,2.537616456531034,3.009821167979006
120526.mp3,An alarm is beeping.,3.5397812025506727,4.011985913998644
120526.mp3,An alarm is beeping.,4.541931340877277,5.01045273182241
120526.mp3,An alarm is beeping.,5.542650830777911,6.004648347251376
120526.mp3,An alarm is beeping.,6.542601428358046,7.009908432217944
120526.mp3,An alarm is beeping.,7.540285233766061,8.00759223762596
120526.mp3,An alarm is beeping.,8.541572621943345,9.007212491880797
120526.mp3,An alarm is beeping.,9.542112850440418,18.068
123722.mp3,Music combined with a repeating alarm creates a sense of stress and tension.,0.2565356632384388,27.06451247165533
125652.mp3,"High-pitched sound of a wine glass being played rhythmically in an unsteady, cyclical pattern.",0.6394471712735726,21.119039008008265
125652.mp3,Quiet human speech in the background.,15.463242375601927,16.44503554230681
125652.mp3,Repeated sound of a wine glass indoors.,0.0,21.844897959183672
